Группа;№;Ниша;Процент выкупа, %;Выручка, ₽;Продажи, шт;Средняя цена с продажами, ₽;Товаров с продажами;Продавцов с продажами
TOP 20 (лучший выкуп);1;Продукты питания / Выпечка и сладости / Печенье, пряники и вафли / Вафли;99,0;37020979;53110;929,66;449;134
TOP 20 (лучший выкуп);2;Цифровые товары / Программное обеспечение / Операционные системы и приложения;99,0;16690472;29595;2079,58;186;26
TOP 20 (лучший выкуп);3;Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и подписки для PlayStation;99,0;3693863;1279;3039,21;131;3
TOP 20 (лучший выкуп);4;Продукты питания / Консервация / Овощи консервированные / Горошек консервированный;99,0;3349184;5850;675,0;32;9
TOP 20 (лучший выкуп);5;Цифровые товары / Цифровые игры и игровые подписки / Игровая валюта;99,0;2419597;1650;2725,51;57;4
TOP 20 (лучший выкуп);6;Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и подписки для Xbox;99,0;588214;491;1315,45;130;2
TOP 20 (лучший выкуп);7;Ozon fresh / Другие товары / Праздник и пикник / Грили, мангалы и барбекю;99,0;487241;232;1609,0;3;2
TOP 20 (лучший выкуп);8;Цифровые товары / Программное обеспечение / Антивирусы и безопасность;99,0;188430;179;1264,0;6;2
TOP 20 (лучший выкуп);9;Ozon fresh / Другие товары / Дом и уют / Товары для кухни / Посуда / Кухонные принадлежности;99,0;127129;743;942,4;5;3
TOP 20 (лучший выкуп);10;Цифровые товары / Онлайн-подписки на сервисы / Подписки на онлайн-кинотеатры;99,0;15196;4;3799,0;1;1
TOP 20 (лучший выкуп);11;Ozon fresh / Мясо, птица и рыба / Мясо и птица / Котлеты, бургеры;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);12;Ozon fresh / Овощи, фрукты, зелень / Овощи, грибы и зелень / Перец;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);13;Цифровые товары / Онлайн-подписки на сервисы / Подписки на нейросети;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);14;Цифровые товары / Электронные лотерейные билеты;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);15;Цифровые товары / Мобильная связь / Мобильные тарифы eSIM;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);16;Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и и подписки для Nintendo;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);17;Цифровые товары / Программное обеспечение / Облачные хранилища;99,0;0;0;nan;0;0
TOP 20 (лучший выкуп);18;Цифровые товары / Онлайн-подписки на сервисы / Подписки на музыку;99,0;0;0;nan;0;0
