"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Одежда / Женская одежда / Верхняя одежда женская / Куртки и пуховики женские;3;2020-01-04;1528711;188711;129397;8,46;89191;5,83;68,93;4541;2067;45,52;41728;2518;6,03;558505;3510479692;3101101114;46,9;6611580806;668081;396353;2419508513;59,33;35,89;56;1023981;4517,86;2424;200;200000;8312,18;5761;4,6;4,68;38,8
Одежда / Женская одежда / Брюки, бриджи и капри женские;2;2020-01-04;803248;121558;175181;21,81;126161;15,71;72,02;6047;3368;55,7;37111;4357;11,74;1764943;3505975410;1295262201;26,98;4801237611;2434220;1336951;2766574281;54,92;41,38;8;940801;3025,27;1307;8;500000;2755,94;1915,5;4,63;4,7;37,2
Одежда / Женская одежда / Платья и сарафаны женские;2;2020-01-04;1195214;199845;198072;16,57;136118;11,39;68,72;6034;3274;54,26;37835;3919;10,36;1011584;2713594049;1293879126;32,29;4007473175;1801526;1150016;3387388705;63,84;53,43;8;963281;3673,39;1471,5;8;500000;3610,67;2734,5;4,55;4,69;33,7
Обувь / Мужская обувь / Кеды, кроссовки и слипоны мужские;2;2020-01-04;3270301;495764;174137;5,32;101703;3,11;58,4;2572;947;36,82;46390;1684;3,63;604606;2431074115;1449621100;37,35;3880695215;1932380;1546981;6606581950;80,06;95,88;11;6054300;6743,81;3674;144;6054300;5479,63;3507;4,69;4,68;43,3
Одежда / Мужская одежда / Верхняя одежда мужская / Куртки и пуховики мужские;3;2020-01-04;1129991;130091;86243;7,63;56470;5;65,48;3375;1355;40,15;30214;1764;5,84;333813;2275559616;1625701357;41,67;3901260973;515834;328013;2181809270;63,59;46,36;30;1315080;5895,16;2580;30;500000;9336,24;6375;4,56;4,68;46,4
Обувь / Женская обувь / Ботинки и полуботинки женские;3;2020-01-04;544558;58854;134617;24,72;94698;17,39;70,35;2237;1003;44,84;18744;1062;5,67;632995;2238437934;1812827823;44,75;4051265757;1112986;730156;2704006736;65,6;52,75;20;6054300;6438,38;3773;20;6054300;5260,49;3800;4,72;4,64;41,1
Одежда / Женская одежда / Костюмы и комплекты одежды женские;2;2020-01-04;773520;128133;128089;16,56;83828;10,84;65,45;4501;2550;56,65;32691;3522;10,77;621022;2107754220;1047653695;33,2;3155407915;1087259;707511;2387813980;65,07;52,52;20;1138495;2652,37;1809;24;200000;3990,81;3074,5;4,57;4,51;42,4
Бытовая техника / Техника для дома / Пылесосы / Вертикальные пылесосы;1;2020-01-04;22039;3864;3944;17,9;2958;13,42;75;789;402;50,95;2483;843;33,95;131016;2079679865;337851645;13,98;2417531510;163461;64119;785978008;39,23;37,43;7;4937724;24711,61;15401;26;4937724;17687,17;8601,5;4,72;4,31;87,5
Одежда / Женская одежда / Джинсы и джеггинсы женские;2;2020-01-04;377414;65564;76037;20,15;60377;16;79,4;2057;939;45,65;17070;1193;6,99;730608;2032045890;862365570;29,79;2894411460;936510;514791;1733341722;54,97;38,45;8;938444;4653,59;2318;8;80000;3566,67;2661;4,61;4,69;39,5
Одежда / Женская одежда / Джемперы, свитеры и кардиганы женские;2;2020-01-04;700603;99232;116529;16,63;87513;12,49;75,1;3705;1843;49,74;31120;2378;7,64;1055372;1985536256;960972504;32,61;2946508760;1328967;717949;1544761410;54,02;37,78;8;651392;2855,08;1377,5;8;651392;2717,41;1957;4,57;4,71;40,2
Одежда / Мужская одежда / Брюки мужские;2;2020-01-04;517668;65137;92207;17,81;62037;11,98;67,28;3293;1717;52,14;19178;2107;10,99;720653;1652159638;599123787;26,61;2251283425;1290324;793783;2142725517;61,52;53,71;20;963851;3993,49;1704;146;333613;3397,26;2610;4,58;4,71;46,3
Обувь / Мужская обувь / Ботинки и полуботинки мужские;3;2020-01-04;315403;34637;67036;21,25;46098;14,62;68,77;1550;727;46,9;12359;975;7,89;324590;1650666939;1165802690;41,39;2816469629;401055;229550;1284273317;57,24;37,07;20;10000000;8010,65;4166;54;10000000;7260,04;4871;4,66;4,67;47,0
Обувь / Женская обувь / Кроссовки и кеды женские;2;2020-01-04;733432;89590;132711;18,09;75070;10,24;56,57;2160;915;42,36;19189;1257;6,55;398552;1472091285;810946771;35,52;2283038056;1658795;1395404;5330005286;84,12;124,86;20;10000000;8561,46;4139;28;6054300;5064,47;2937,5;4,74;4,7;37,2
Одежда / Женская одежда / Нижнее белье женское / Бюстгальтеры женские;2;2020-01-04;488591;57183;137324;28,11;89804;18,38;65,4;1403;708;50,46;20359;1048;5,15;1269800;1461334864;452297315;23,64;1913632179;2800074;1634528;2126512283;58,37;66,15;0;191477;1933,23;937,5;14;100451;2095,78;1513;4,69;4,77;48,2
Электроника / Телефоны и смарт-часы / Смартфоны;2;2020-01-04;200194;32102;7603;3,8;5302;2,65;69,74;204;66;32,35;1991;515;25,87;63873;1429917715;1094066259;43,35;2523983974;124275;76755;1591967778;61,76;58,37;5;4349997;60353,72;35606,5;154;2750000;35428,4;16428;4,74;4,33;90,9
