№;Ниша;Выручка, ₽;Продажи, шт.;Процент выкупа, %
1;Продукты питания / Выпечка и сладости / Печенье, пряники и вафли / Вафли;37020979;53110;99,0
2;Цифровые товары / Программное обеспечение / Операционные системы и приложения;16690472;29595;99,0
3;Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и подписки для PlayStation;3693863;1279;99,0
4;Продукты питания / Консервация / Овощи консервированные / Горошек консервированный;3349184;5850;99,0
5;Цифровые товары / Цифровые игры и игровые подписки / Игровая валюта;2419597;1650;99,0
6;Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и подписки для Xbox;588214;491;99,0
7;Ozon fresh / Другие товары / Праздник и пикник / Грили, мангалы и барбекю;487241;232;99,0
8;Цифровые товары / Программное обеспечение / Антивирусы и безопасность;188430;179;99,0
9;Ozon fresh / Другие товары / Дом и уют / Товары для кухни / Посуда / Кухонные принадлежности;127129;743;99,0
10;Цифровые товары / Онлайн-подписки на сервисы / Подписки на онлайн-кинотеатры;15196;4;99,0
11;Продукты питания / Орехи и снеки / Орехи;181399603;169412;98,9
12;Продукты питания / Выпечка и сладости / Зефир и пастила / Зефир и безе;35106084;61298;98,9
13;Продукты питания / Масла, соусы и специи / Масла / Столовое масло;120208980;137757;98,8
14;Продукты питания / Соки, воды и напитки / Лимонады и газированные напитки;62325038;63725;98,8
15;Продукты питания / Выпечка и сладости / Конфеты / Карамельные конфеты;28956998;50398;98,8
16;Продукты питания / Масла, соусы и специи / Добавки для приготовления блюд / Товары для изготовления колбас;24814768;75979;98,8
17;Продукты питания / Масла, соусы и специи / Специи, семена и сушеные овощи / Сладкие приправы;23211316;49875;98,8
18;Продукты питания / Чай, кофе и какао / Кофе / Кофе в зернах;1152415074;655911;98,7
19;Продукты питания / Орехи и снеки / Орехи / Миндаль;37306892;33606;98,7
20;Продукты питания / Масла, соусы и специи / Масла / Льняное масло;9802646;23965;98,7
